No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,612.248.000,Pengembangan
2,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,2.700.713.744,Pengembangan
3,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,Pengembangan
4,ALMI,Alumindo Light Metal Industry ,02 Jan 1997,3.816.000.000,Pemantauan Khusus
5,ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,Utama
6,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,Pengembangan
7,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1.800.000.000,Pengembangan
8,BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,1.159.200.024,Pengembangan
9,BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,141.784.040.338,Utama
10,BRNA,Berlina Tbk.,06 Nov 1989,979.110.000,Pengembangan
11,BRPT,Barito Pacific Tbk.,01 Okt 1993,93.747.218.044,Utama
12,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,720.000.000,Pengembangan
13,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,3.960.361.250,Utama
14,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,306.338.500,Pengembangan
15,CTBN,Citra Tubindo Tbk.,28 Nov 1989,800.371.500,Pengembangan
16,DKFT,Central Omega Resources Tbk.,21 Nov 1997,5.638.246.600,Pengembangan
17,DPNS,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,331.129.952,Pengembangan
18,EKAD,Ekadharma International Tbk.,14 Agt 1990,3.493.875.000,Pengembangan
19,ESSA,ESSA Industries Indonesia Tbk.,01 Feb 2012,17.226.975.700,Utama
20,ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,4.668.671.400,Pemantauan Khusus
21,FASW,Fajar Surya Wisesa Tbk.,19 Des 1994,3.221.255.423,Pemantauan Khusus
22,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,5.566.414.000,Pengembangan
23,GDST,Gunawan Dianjaya Steel Tbk.,23 Des 2009,9.242.500.000,Pengembangan
24,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,927.780.600,Pengembangan
25,INAI,Indal Aluminium Industry Tbk.,05 Des 1994,633.600.000,Pengembangan
