No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,Utama
2,ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,Pengembangan
3,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,9.311.800.000,Utama
4,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,Pemantauan Khusus
5,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,Utama
6,ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,Pengembangan
7,BISI,BISI International Tbk.,28 Mei 2007,3.000.000.000,Utama
8,BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,46.277.496.376,Pemantauan Khusus
9,BUDI,Budi Starch & Sweetener Tbk.,08 Mei 1995,4.498.997.362,Utama
10,BWPT,Eagle High Plantations Tbk.,27 Okt 2009,31.525.291.000,Utama
11,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,595.000.000,Pengembangan
12,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,16.398.000.000,Utama
13,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,59.572.382.787,Pengembangan
14,DLTA,Delta Djakarta Tbk.,27 Feb 1984,800.659.050,Utama
15,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,1.857.135.500,Pengembangan
16,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,10.599.842.400,Utama
17,EPMT,Enseval Putera Megatrading Tbk,01 Agt 1994,2.708.640.000,Pengembangan
18,FISH,FKS Multi Agro Tbk.,18 Jan 2002,4.800.000.000,Pengembangan
19,GGRM,Gudang Garam Tbk.,27 Agt 1990,1.924.088.000,Utama
20,GOLL,Golden Plantation Tbk.,23 Des 2014,3.665.000.759,Pemantauan Khusus
21,GZCO,Gozco Plantations Tbk.,15 Mei 2008,6.000.000.000,Pengembangan
22,HERO,DFI Retail Nusantara Tbk.,21 Agt 1989,4.183.634.000,Pengembangan
23,HMSP,H.M. Sampoerna Tbk.,15 Agt 1990,116.318.076.900,Utama
24,ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010,11.661.908.000,Utama
25,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,8.780.426.500,Utama
26,JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,16.232.951.842,Pengembangan
27,JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,11.726.575.201,Utama
28,LAPD,Leyand International Tbk.,17 Jul 2001,3.966.350.139,Pengembangan
29,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,6.819.963.965,Utama
30,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,9.000.000.004,Pemantauan Khusus
31,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,2.238.750.000,Utama
32,MBTO,Martina Berto Tbk.,13 Jan 2011,1.070.000.000,Pengembangan
33,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,33.435.294.800,Utama
34,MLBI,Multi Bintang Indonesia Tbk.,15 Des 1981,2.107.000.000,Utama
35,MLPL,Multipolar Tbk.,06 Nov 1989,15.682.323.987,Utama
36,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,12.966.640.084,Pengembangan
37,MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,Pengembangan
38,MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,Utama
39,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,Pengembangan
40,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,Pengembangan
41,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,Pengembangan
42,SDPC,Millennium Pharmacon Internati,07 Mei 1990,1.274.000.000,Pengembangan
