No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,Utama
2,AKRA,AKR Corporindo Tbk.,03 Okt 1994,20.073.474.600,Utama
3,APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,3.546.466.661,Pengembangan
4,ARII,Atlas Resources Tbk.,08 Nov 2011,3.750.000.000,Pengembangan
5,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,Pemantauan Khusus
6,BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,8.479.490.328,Pengembangan
7,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,63.710.196.917,Pengembangan
8,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,2.616.500.000,Pengembangan
9,BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,15.494.436.593,Pengembangan
10,BUMI,Bumi Resources Tbk.,30 Jul 1990,371.335.392.068,Utama
11,BYAN,Bayan Resources Tbk.,12 Agt 2008,33.333.335.000,Utama
12,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,833.440.000,Pemantauan Khusus
13,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,8.956.361.206,Pemantauan Khusus
14,DEWA,Darma Henwa Tbk,26 Sep 2007,40.687.434.244,Utama
15,DOID,BUMA Internasional Grup Tbk.,15 Jun 2001,7.651.007.132,Utama
16,DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009,7.705.523.200,Utama
17,ELSA,Elnusa Tbk.,06 Feb 2008,7.298.500.000,Utama
18,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,26.346.230.250,Utama
19,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,5.882.353.000,Utama
20,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,2.500.000.000,Pengembangan
21,HITS,Humpuss Intermoda Transportasi,15 Des 1997,7.101.084.801,Pemantauan Khusus
22,HRUM,Harum Energy Tbk.,06 Okt 2010,13.518.100.000,Utama
23,IATA,MNC Energy Investments Tbk.,13 Sep 2006,31.275.829.981,Pengembangan
24,INDY,Indika Energy Tbk.,11 Jun 2008,5.210.192.000,Utama
25,ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,999.053.167,Pengembangan
26,ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1.129.925.000,Utama
27,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,5.000.000.000,Utama
28,KOPI,Mitra Energi Persada Tbk.,04 Mei 2015,697.266.668,Pengembangan
29,LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,5.799.616.328,Pengembangan
30,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,1.227.271.952,Pengembangan
