No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,ACST,Acset Indonusa Tbk.,24 Jun 2013,17.675.160.000,Pengembangan
2,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,8.407.608.979,Utama
3,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,3.934.592.500,Utama
4,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,36.822.665.755,Pemantauan Khusus
5,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,2.640.452.000,Utama
6,CASS,Cahaya Aero Services Tbk.,05 Des 2011,2.086.950.000,Utama
7,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,31.183.464.900,Pengembangan
8,CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,6.696.354.391,Utama
9,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,5.541.165.000,Pengembangan
10,EXCL,XLSMART Telecom Sejahtera Tbk.,29 Sep 2005,18.199.862.451,Utama
11,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,1.277.276.000,Pengembangan
12,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,2.120.000.000,Pemantauan Khusus
13,IBST,Inti Bangun Sejahtera Tbk.,31 Agt 2012,1.350.904.927,Pemantauan Khusus
14,ISAT,Indosat Tbk.,19 Okt 1994,32.250.810.957,Utama
15,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16.308.519.860,Utama
16,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,7.257.871.200,Utama
17,KARW,Meratus Jasa Prima Tbk.,20 Des 1994,587.152.700,Pemantauan Khusus
18,KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,Pengembangan
19,LINK,Link Net Tbk.,02 Jun 2014,2.863.195.484,Pengembangan
20,META,Nusantara Infrastructure Tbk.,18 Jul 2001,17.710.708.194,Pemantauan Khusus
21,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,Pengembangan
22,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,Utama
23,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,Utama
24,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,Pemantauan Khusus
25,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,22.656.999.445,Utama
26,TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,99.062.216.600,Utama
27,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,Utama
28,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,59.098.103.731,Utama
29,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,39.873.063.858,Pemantauan Khusus
30,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,28.806.807.016,Pemantauan Khusus
31,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2.003.000.000,Pengembangan
32,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,Pemantauan Khusus
33,OASA,Maharaksa Biru Energi Tbk.,18 Jul 2016,6.347.220.000,Pengembangan
34,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,Utama
35,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,3.000.000.000,Pengembangan
36,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,Pengembangan
37,TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,2.750.000.000,Pemantauan Khusus
38,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,33.330.000.000,Pemantauan Khusus
39,MPOW,Megapower Makmur Tbk.,05 Jul 2017,816.997.053,Pengembangan
40,GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,120.453.055.611,Pemantauan Khusus
41,PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,Pengembangan
42,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,9.572.000.000,Pengembangan
43,MORA,Mora Telematika Indonesia Tbk.,08 Agt 2022,23.646.668.691,Utama
44,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,Utama
45,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,1.000.000.000,Pengembangan
46,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,550.000.000,Pengembangan
47,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,Utama
48,MTPS,Meta Epsi Tbk.,10 Apr 2019,2.084.850.829,Pemantauan Khusus
49,JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,1.082.575.738,Pengembangan
50,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,3.666.312.500,Utama
51,PTPW,Pratama Widya Tbk.,07 Feb 2020,878.187.500,Pengembangan
52,TAMA,Lancartama Sejati Tbk.,10 Feb 2020,1.200.000.696,Pemantauan Khusus
53,RONY,Aracord Nusantara Group Tbk.,09 Apr 2020,1.250.000.000,Pengembangan
54,PTDU,Djasa Ubersakti Tbk.,08 Des 2020,1.500.000.000,Pemantauan Khusus
55,FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,400.000.975,Pemantauan Khusus
56,MTEL,Dayamitra Telekomunikasi Tbk.,22 Nov 2021,83.559.677.444,Utama
57,SMKM,Sumber Mas Konstruksi Tbk.,09 Mar 2022,1.253.000.000,Akselerasi
58,ARKO,Arkora Hydro Tbk.,08 Jul 2022,2.928.495.000,Pengembangan
59,KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Jul 2022,1.663.943.474,Pengembangan
60,PGEO,Pertamina Geothermal Energy Tb,24 Feb 2023,41.815.763.396,Utama
61,BDKR,Berdikari Pondasi Perkasa Tbk.,03 Mar 2023,4.725.101.522,Utama
62,INET,Sinergi Inti Andalan Prima Tbk,24 Jul 2023,9.581.075.296,Pengembangan
63,BREN,Barito Renewables Energy Tbk.,09 Okt 2023,133.786.220.000,Utama
64,KOKA,Koka Indonesia Tbk.,11 Okt 2023,2.861.333.000,Pengembangan
65,ASLI,Asri Karya Lestari Tbk.,05 Jan 2024,6.250.000.000,Pengembangan
66,DATA,Remala Abadi Tbk.,07 Mei 2024,1.375.000.000,Pengembangan
67,HGII,Hero Global Investment Tbk.,09 Jan 2025,6.500.000.000,Pengembangan
68,CDIA,Chandra Daya Investasi Tbk.,09 Jul 2025,124.829.374.700,Pengembangan
69,MANG,Manggung Polahraya Tbk.,11 Jan 2024,3.812.516.196,Akselerasi
70,KETR,Ketrosden Triasmitra Tbk.,11 Jan 2021,2.841.262.838,Pengembangan
