No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,22.699.326.779,Utama
2,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,Utama
3,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,661.784.520,Pengembangan
4,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,1.429.915.525,Pengembangan
5,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,9.647.311.150,Utama
6,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,592.280.000,Pemantauan Khusus
7,BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,5.028.669.376,Pemantauan Khusus
8,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,7.513.992.252,Pemantauan Khusus
9,BKSL,Sentul City Tbk.,28 Jul 1997,167.708.902.705,Utama
10,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,21.171.365.812,Utama
11,COWL,Cowell Development Tbk.,19 Des 2007,4.871.214.021,Pemantauan Khusus
12,CTRA,Ciputra Development Tbk.,28 Mar 1994,18.535.695.255,Utama
13,DART,Duta Anggada Realty Tbk.,08 Mei 1990,3.141.390.962,Pengembangan
14,DILD,Intiland Development Tbk.,04 Sep 1991,10.365.854.185,Utama
15,DMAS,Puradelta Lestari Tbk.,29 Mei 2015,48.198.111.100,Utama
16,DUTI,Duta Pertiwi Tbk,02 Nov 1994,1.850.000.000,Pengembangan
17,ELTY,Bakrieland Development Tbk.,30 Okt 1995,43.521.913.019,Pemantauan Khusus
18,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,3.350.000.000,Pengembangan
19,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,6.400.000.000,Pengembangan
20,GAMA,Aksara Global Development Tbk.,11 Jul 2012,10.011.027.656,Pemantauan Khusus
21,GMTD,Gowa Makassar Tourism Developm,11 Des 2000,1.015.380.000,Pengembangan
22,GPRA,Perdana Gapuraprima Tbk.,10 Okt 2007,4.276.655.336,Pengembangan
23,INPP,Indonesian Paradise Property T,12 Jan 2004,11.181.971.732,Pengembangan
24,JRPT,Jaya Real Property Tbk.,29 Jun 1994,12.910.719.100,Utama
25,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,Utama
26,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,5.630.000.914,Pemantauan Khusus
27,LPCK,Lippo Cikarang Tbk,24 Jul 1997,5.134.685.692,Pengembangan
28,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,70.898.018.369,Utama
29,LPLI,Star Pacific Tbk,23 Okt 1989,1.170.432.803,Pengembangan
30,MDLN,Modernland Realty Tbk.,18 Jan 1993,12.533.067.322,Pengembangan
31,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,Pengembangan
32,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,Utama
33,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,Utama
34,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,Pemantauan Khusus
35,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,Pengembangan
36,OMRE,Indonesia Prima Property Tbk,22 Agt 1994,2.945.211.000,Pemantauan Khusus
37,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,Pemantauan Khusus
38,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Pemantauan Khusus
39,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,659.120.000,Pengembangan
40,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,Utama
41,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,Pemantauan Khusus
42,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,Pengembangan
43,RIMO,Rimo International Lestari Tbk,10 Nov 2000,45.080.600.000,Pemantauan Khusus
44,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,Pemantauan Khusus
45,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,Pengembangan
46,SMRA,Summarecon Agung Tbk.,07 Mei 1990,16.508.568.358,Utama
47,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,10.069.645.750,Pemantauan Khusus
48,CSIS,Cahayasakti Investindo Sukses ,10 Mei 2017,1.307.000.000,Pengembangan
49,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,9.006.250.000,Pemantauan Khusus
50,NASA,Andalan Perkasa Abadi Tbk.,07 Agt 2017,11.004.929.322,Pemantauan Khusus
51,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,10.945.000.000,Pengembangan
52,POLL,Pollux Properties Indonesia Tb,11 Jul 2018,8.318.823.600,Pemantauan Khusus
53,LAND,Trimitra Propertindo Tbk.,23 Agt 2018,2.792.620.000,Pemantauan Khusus
54,PANI,Pantai Indah Kapuk Dua Tbk.,18 Sep 2018,18.117.025.598,Utama
55,CITY,Natura City Developments Tbk.,28 Sep 2018,5.405.188.966,Pengembangan
56,MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,9.942.500.000,Pengembangan
57,SATU,Kota Satu Properti Tbk.,05 Nov 2018,1.375.000.000,Pengembangan
58,URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,3.232.122.640,Pengembangan
59,POLI,Pollux Hotels Group Tbk.,10 Jan 2019,2.010.526.400,Pemantauan Khusus
60,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,2.433.379.958,Pemantauan Khusus
61,POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8.388.870.206,Pemantauan Khusus
62,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,3.125.000.000,Pengembangan
63,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,5.591.980.103,Pemantauan Khusus
64,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,2.197.540.705,Pengembangan
65,REAL,Repower Asia Indonesia Tbk.,06 Des 2019,6.633.610.151,Pengembangan
66,INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,4.480.741.638,Pengembangan
67,TRIN,Perintis Triniti Properti Tbk.,15 Jan 2020,4.551.457.789,Pengembangan
68,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.002.603,Pemantauan Khusus
69,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,4.800.016.020,Pengembangan
70,UANG,Pakuan Tbk.,06 Jul 2020,1.210.000.000,Pengembangan
71,PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan
72,HOMI,Grand House Mulia Tbk.,10 Sep 2020,1.575.000.000,Pengembangan
