No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,2.315.361.355,Pengembangan
2,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,61.426.451.483,Utama
3,KREN,Quantum Clovera Investama Tbk.,28 Jun 2002,18.208.470.100,Pemantauan Khusus
4,LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,787.851.525,Pemantauan Khusus
5,MLPT,Multipolar Technology Tbk.,08 Jul 2013,1.875.000.000,Pengembangan
6,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,12.276.884.585,Utama
7,PTSN,Sat Nusapersada Tbk,08 Nov 2007,5.314.344.000,Pengembangan
8,SKYB,Northcliff Citranusa Indonesia,07 Jul 2010,585.000.000,Pemantauan Khusus
9,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,1.075.862.960,Pengembangan
10,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,867.933.300,Utama
11,NFCX,NFC Indonesia Tbk.,12 Jul 2018,666.667.500,Pengembangan
12,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,1.428.571.400,Pengembangan
13,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,715.749.640,Pengembangan
14,ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,1.800.000.000,Pemantauan Khusus
15,HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,1.524.680.000,Pengembangan
16,TFAS,Telefast Indonesia Tbk.,17 Sep 2019,1.666.666.500,Pengembangan
17,DMMX,Digital Mediatama Maxima Tbk.,21 Okt 2019,7.692.307.700,Pengembangan
18,GLVA,Galva Technologies Tbk.,23 Des 2019,1.500.000.000,Pengembangan
19,PGJO,Bahtera Bumi Raya Tbk.,08 Jan 2020,795.859.095,Akselerasi
20,CASH,Cashlez Worldwide Indonesia Tb,04 Mei 2020,1.431.125.517,Akselerasi
21,TECH,Indosterling Technomedia Tbk.,04 Jun 2020,1.256.300.000,Pemantauan Khusus
22,EDGE,Indointernet Tbk.,08 Feb 2021,2.020.250.000,Pengembangan
23,ZYRX,Zyrexindo Mandiri Buana Tbk.,30 Mar 2021,1.333.334.556,Pengembangan
24,UVCR,Trimegah Karya Pratama Tbk.,27 Jul 2021,2.000.144.838,Pengembangan
25,BUKA,Bukalapak.com Tbk.,06 Agt 2021,103.148.706.067,Ekonomi Baru
26,RUNS,Global Sukses Solusi Tbk.,08 Sep 2021,983.557.875,Akselerasi
27,WGSH,Wira Global Solusi Tbk.,06 Des 2021,1.042.500.000,Akselerasi
28,WIRG,WIR ASIA Tbk.,04 Apr 2022,11.938.622.394,Pengembangan
29,GOTO,GoTo Gojek Tokopedia Tbk.,11 Apr 2022,1.140.573.267.220,Ekonomi Baru
30,AXIO,Tera Data Indonusa Tbk.,20 Jul 2022,5.840.126.500,Pengembangan
31,BELI,Global Digital Niaga Tbk.,08 Nov 2022,135.842.883.189,Ekonomi Baru
32,NINE,Techno9 Indonesia Tbk.,05 Des 2022,2.157.000.000,Pemantauan Khusus
33,ELIT,Data Sinergitama Jaya Tbk.,06 Jan 2023,2.031.643.057,Pengembangan
34,IRSX,Folago Global Nusantara Tbk.,07 Feb 2023,6.195.047.377,Pemantauan Khusus
35,CHIP,Pelita Teknologi Global Tbk.,08 Feb 2023,806.000.000,Akselerasi
36,TRON,Teknologi Karya Digital Nusa T,08 Mar 2023,2.951.328.448,Pengembangan
37,JATI,Informasi Teknologi Indonesia ,08 Mei 2023,3.262.520.106,Pengembangan
38,CYBR,ITSEC Asia Tbk.,08 Agt 2023,6.676.503.258,Pengembangan
39,IOTF,Sumber Sinergi Makmur Tbk.,06 Okt 2023,5.290.298.067,Pengembangan
40,MSTI,Mastersystem Infotama Tbk.,08 Nov 2023,3.139.416.200,Utama
41,TOSK,Topindo Solusi Komunika Tbk.,07 Feb 2024,4.375.277.300,Pengembangan
42,MPIX,Mitra Pedagang Indonesia Tbk.,07 Feb 2024,1.562.566.088,Pengembangan
43,AREA,Dunia Virtual Online Tbk.,01 Apr 2024,2.539.601.000,Pengembangan
44,MENN,Menn Teknologi Indonesia Tbk.,18 Apr 2023,1.434.052.006,Akselerasi
45,AWAN,Era Digital Media Tbk.,18 Apr 2023,3.435.000.000,Pengembangan
46,WIFI,Solusi Sinergi Digital Tbk.,30 Des 2020,5.308.549.015,Pengembangan
47,DCII,DCI Indonesia Tbk.,06 Jan 2021,2.383.745.900,Pengembangan
