No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720.000.000,Pengembangan
2,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.691.137.517,Utama
3,BIRD,Blue Bird Tbk.,05 Nov 2014,2.502.100.000,Utama
4,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,25.940.187.103,Pemantauan Khusus
5,CMPP,AirAsia Indonesia Tbk.,08 Des 1994,10.685.124.441,Pemantauan Khusus
6,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,407.091.703.837,Pemantauan Khusus
7,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,10.849.262.500,Pengembangan
8,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,Pengembangan
9,MIRA,Mitra International Resources ,30 Jan 1997,3.961.452.039,Pemantauan Khusus
10,MITI,Mitra Investindo Tbk.,16 Jul 1997,3.750.526.603,Pengembangan
11,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan
12,SAFE,Steady Safe Tbk,15 Agt 1994,821.207.512,Pengembangan
13,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,1.135.225.000,Pengembangan
14,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,16.375.600.000,Utama
15,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,10.223.647.156,Pemantauan Khusus
16,TMAS,Temas Tbk.,09 Jul 2003,57.051.500.000,Utama
17,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,1.460.554.819,Pengembangan
18,HELI,Jaya Trishindo Tbk.,27 Mar 2018,832.862.387,Pengembangan
19,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,Pengembangan
20,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,Pengembangan
21,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,3.534.000.000,Pengembangan
22,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,Pengembangan
23,DEAL,Dewata Freightinternational Tb,11 Nov 2018,1.146.170.959,Pemantauan Khusus
24,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,798.499.394,Pengembangan
25,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,500.000.000,Pengembangan
26,PURA,Putra Rajawali Kencana Tbk.,29 Jan 2020,6.301.930.902,Pemantauan Khusus
27,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,771.178.020,Akselerasi
28,TRJA,Transkon Jaya Tbk.,27 Agt 2020,1.510.200.000,Pengembangan
29,HAIS,Hasnur Internasional Shipping ,01 Sep 2021,2.626.250.000,Pengembangan
30,HATM,Habco Trans Maritima Tbk.,26 Jul 2022,8.680.000.000,Utama
31,RCCC,Utama Radar Cahaya Tbk.,02 Agt 2022,787.500.000,Akselerasi
32,ELPI,Pelayaran Nasional Ekalya Purn,08 Agt 2022,7.412.000.000,Utama
33,LAJU,Jasa Berdikari Logistics Tbk.,27 Jan 2023,2.149.942.974,Pengembangan
34,GTRA,Grahaprima Suksesmandiri Tbk.,30 Mar 2023,1.894.375.000,Pengembangan
35,MPXL,MPX Logistics International Tb,09 Mei 2023,2.000.014.587,Pengembangan
36,KLAS,Pelayaran Kurnia Lautan Semest,12 Jun 2023,3.644.415.975,Pengembangan
37,LOPI,Logisticsplus International Tb,11 Okt 2023,1.100.011.289,Akselerasi
38,BLOG,Trimitra Trans Persada Tbk.,10 Jul 2025,3.379.487.200,Utama
39,PJHB,Pelayaran Jaya Hidup Baru Tbk.,06 Nov 2025,1.920.000.000,Pengembangan
