No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,Utama
2,ABBA,Mahaka Media Tbk.,03 Apr 2002,3.935.892.857,Pemantauan Khusus
3,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,Pemantauan Khusus
4,ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,Utama
5,ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,17.120.389.700,Utama
6,ACST,Acset Indonusa Tbk.,24 Jun 2013,17.675.160.000,Pengembangan
7,ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,Pengembangan
8,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,8.407.608.979,Utama
9,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.235.803.109,Pengembangan
10,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,Pengembangan
